"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-21","16.55",,"0.33","0.0",,"43","54","34","  180","  180","35.1","42.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-22","19.69",,"0.00","0.0",,"39","44","34","  280","  260","30.0","40.9",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-23","12.53",,"0.00","0.0",,"42","55","34","  260","  280","16.1","23.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-24","9.17",,"0.21","0.0",,"44","45","39","   30","   30","21.0","25.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-25","7.61",,"0.00","0.0",,"45","53","37","  200","  190","17.0","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-26","14.99",,"0.22","0.0",,"45","47","41","   40","   30","36.9","48.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-27","22.82",,"0.60","0.0",,"41","42","37","   40","   30","36.9","46.1","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-28","10.29",,"0.01","0.0",,"40","44","38","   10","   10","21.0","27.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-29","9.84",,"0.00","0.0",,"44","49","38","   90","   90","17.0","21.0",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-04-30","13.20",,"0.00","0.0",,"45","50","44","  110","  100","23.0","28.0","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-01","8.95",,"0.79","0.0",,"52","62","48","  100","  320","21.0","23.9","    1",,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-02","12.97",,"0.01","0.0",,"57","70","46","  310","  320","25.1","35.1",,,,,,,
"USW00014739","BOSTON MA US","42.3606","-71.0097","3.7","2020-05-03","10.07",,"0.00","0.0",,"64","78","53","  210","  220","21.0","25.9",,,,,,,
